date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:17:54	28515/28515	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2000:16:06%20GMT	https://mintgreatgoats.com/	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/index.html	(from )
07:17:54	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Jun%202022%2014:17:54%20GMT	https://mintgreatgoats.com/robots.txt		(from )
07:17:55	586589/586589	---M--	200	added ('OK')	image/png	etag:%22e70ea0d5ffd15485aad976cc7fbd49d8-ssl%22	https://greatgoats.io/assets/images/icon.png	C:/Users/Administrator/Downloads/greatgoats%20drainer/greatgoats.io/assets/images/icon.png	(from https://mintgreatgoats.com/)
07:17:55	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Jun%202022%2014:17:55%20GMT	https://mintgreatgoats.com/assets/images/headerBG.svg	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/assets/images/headerBG.svg	(from https://mintgreatgoats.com/)
07:17:55	74877/74877	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Jun%202022%2018:07:38%20GMT	https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	(from https://mintgreatgoats.com/)
07:17:55	6371/6371	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Jun%202022%2018:07:38%20GMT	https://mintgreatgoats.com/assets/css/normalize.css	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/assets/css/normalize.css	(from https://mintgreatgoats.com/)
07:17:56	7379/7379	---M-Z	200	added ('OK')	text/css	date:Sun,%2005%20Jun%202022%2020:46:22%20GMT	https://mintgreatgoats.com/assets/css/style06d5.css?1221ss2a2	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/assets/css/style06d506d5.css	(from https://mintgreatgoats.com/)
07:17:56	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Jun%202022%2014:17:56%20GMT	https://mintgreatgoats.com/goatmap	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/goatmap	(from https://mintgreatgoats.com/)
07:17:56	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Jun%202022%2014:17:56%20GMT	https://mintgreatgoats.com/farm	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/farm	(from https://mintgreatgoats.com/)
07:17:57	1220/1220	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jun%202022%2018:07:38%20GMT	https://mintgreatgoats.com/assets/img/solana.png	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/assets/img/solana.png	(from https://mintgreatgoats.com/)
